name,school,games,pts,games.1,mpg,pts.1,reb,ast,fg_percent,x3p_percent,ft_percent
Markelle Fultz,WASHINGTON,25,23.2,25,35.7,23.2,5.7,5.9,.476,.413,.649
Lonzo Ball,UCLA,36,14.6,36,35.1,14.6,6.0,7.6,.551,.412,.673
Jayson Tatum,DUKE,29,16.8,29,33.3,16.8,7.3,2.1,.452,.342,.849
Josh Jackson,KANSAS,35,16.3,35,30.8,16.3,7.4,3.0,.513,.378,.566
De'Aaron Fox,KENTUCKY,36,16.7,36,29.6,16.7,4.0,4.6,.479,.246,.736
Jonathan Isaac,FLORIDAST,32,12.0,32,26.2,12.0,7.8,1.2,.508,.348,.780
Lauri Markkanen,ARIZONA,37,15.6,37,30.8,15.6,7.2,0.9,.492,.423,.835
Dennis Smith,NCSTATE,32,18.1,32,34.8,18.1,4.6,6.2,.455,.359,.715
Zach Collins,GONZAGA,39,10.0,39,17.3,10.0,5.9,0.4,.652,.476,.743
Malik Monk,KENTUCKY,38,19.8,38,32.1,19.8,2.5,2.3,.450,.397,.822
Luke Kennard,DUKE,73,15.7,73,31.2,15.7,4.3,2.0,.461,.383,.867
Donovan Mitchell,LOUISVILLE,65,11.7,65,26.0,11.7,4.1,2.2,.418,.329,.788
Bam Adebayo,KENTUCKY,38,13.0,38,30.1,13.0,8.0,0.8,.599,,.653
Justin Jackson,UNC,118,14.0,118,29.1,14.0,4.1,2.6,.460,.340,.712
Justin Patton,CREIGHTON,35,12.9,35,25.3,12.9,6.2,1.2,.676,.533,.517
D.J. Wilson,MICHIGAN,69,7.1,69,19.4,7.1,3.3,0.8,.525,.363,.817
T.J. Leaf,UCLA,35,16.3,35,29.9,16.3,8.2,2.4,.617,.466,.679
John Collins,WAKE,64,13.4,64,20.7,13.4,7.0,0.4,.601,.000,.729
Harry Giles,DUKE,26,3.9,26,11.5,3.9,3.8,0.3,.577,,.500
Jarrett Allen,TEXAS,33,13.4,33,32.2,13.4,8.4,0.8,.566,.000,.564
OG Anunoby,INDIANA,50,6.8,50,17.4,6.8,3.5,0.8,.563,.365,.522
Tyler Lydon,SYRACUSE,71,11.6,71,33.1,11.6,7.4,1.6,.476,.400,.809
Caleb Swanigan,PURDUE,69,14.4,69,29.2,14.4,10.4,2.4,.501,.376,.760
Tony Bradley,UNC,38,7.1,38,14.6,7.1,5.1,0.6,.573,,.619
Derrick White,COLORADO,34,18.1,34,32.8,18.1,4.1,4.4,.507,.396,.813
Josh Hart,VILLANOVA,146,13.2,146,28.0,13.2,5.6,1.8,.511,.389,.720
Frank Jackson,DUKE,36,10.9,36,24.9,10.9,2.5,1.7,.473,.395,.755
Davon Reed,MIAMIFL,131,10.3,131,28.1,10.3,3.6,1.6,.430,.395,.779
Wesley Iwundu,KANSASST,132,9.5,132,28.2,9.5,4.7,2.8,.463,.338,.688
Frank Mason,KANSAS,145,13.0,145,30.0,13.0,3.4,4.0,.454,.420,.761
Ivan Rabb,CALIFORNIA,65,13.2,65,30.6,13.2,9.4,1.2,.544,.409,.666
Jonah Bolden,UCLA,31,4.6,31,21.7,4.6,4.8,1.1,.415,.250,.733
Jordan Bell,OREGON,105,7.8,105,24.7,7.8,6.8,1.5,.610,.188,.630
Jawun Evans,OKSTATE,54,16.6,54,29.1,16.6,3.8,5.8,.448,.407,.818
Dwayne Bacon,FLORIDAST,69,16.5,69,28.8,16.5,5.0,1.6,.449,.312,.733
Tyler Dorsey,OREGON,75,14.1,75,30.0,14.1,3.9,1.8,.455,.416,.732
Thomas Bryant,INDIANA,69,12.2,69,25.3,12.2,6.2,1.2,.592,.373,.718
Damyean Dotson,OREGON,134,12.9,134,29.1,12.9,5.0,1.1,.464,.380,.796
Dillon Brooks,OREGON,109,14.8,109,28.9,14.8,4.5,2.6,.472,.362,.794
Sterling Brown,SMETHODIST,136,8.2,136,25.7,8.2,4.8,2.2,.504,.451,.770
Ike Anigbogu,UCLA,29,4.7,29,13.0,4.7,4.0,0.2,.564,,.535
Sindarius Thornwell,SCAROLINA,132,14.7,132,31.8,14.7,5.2,3.0,.392,.339,.771
Monte Morris,IOWAST,140,12.2,140,33.8,12.2,3.7,5.5,.476,.381,.780
Edmond Sumner,XAVIER,59,11.2,59,26.1,11.2,3.4,3.8,.429,.285,.730
Kadeem Allen,ARIZONA,68,9.1,68,27.5,9.1,3.6,3.3,.459,.400,.725
Alec Peters,VALPO,134,17.5,134,31.7,17.5,7.4,1.5,.487,.416,.846
Nigel Williams-Goss,GONZAGA,100,15.4,100,34.2,15.4,5.1,5.0,.464,.331,.806
Jabari Bird,CALIFORNIA,114,10.8,114,26.4,10.8,3.3,1.2,.442,.371,.753
Jaron Blossomgame,CLEMSON,128,13.5,128,30.7,13.5,6.5,1.1,.488,.316,.724
