name,pos,school,games,mpg,pts,reb,fgpercent,thr_percent,ftpercent
Alec Peters,PF,VALPO,134,31.7,17.5,7.4,0.487,0.416,0.846
Bam Adebayo,C,KENTUCKY,38,30.1,13,8,0.599,NA,0.653
Caleb Swanigan,PF,PURDUE,69,29.2,14.4,10.4,0.501,0.376,0.76
D.J. Wilson,PF,MICHIGAN,69,19.4,7.1,3.3,0.525,0.363,0.817
Damyean Dotson,SG,OREGON,134,29.1,12.9,5,0.464,0.38,0.796
Davon Reed,SG,MIAMIFL,131,28.1,10.3,3.6,0.43,0.395,0.779
De'Aaron Fox,PG,KENTUCKY,36,29.6,16.7,4,0.479,0.246,0.736
Dennis Smith,PG,NCSTATE,32,34.8,18.1,4.6,0.455,0.359,0.715
Derrick White,PG,COLORADO,34,32.8,18.1,4.1,0.507,0.396,0.813
Dillon Brooks,SF,OREGON,109,28.9,14.8,4.5,0.472,0.362,0.794
Donovan Mitchell,SG,LOUISVILLE,65,26,11.7,4.1,0.418,0.329,0.788
Dwayne Bacon,SG,FLORIDAST,69,28.8,16.5,5,0.449,0.312,0.733
Edmond Sumner,PG,XAVIER,59,26.1,11.2,3.4,0.429,0.285,0.73
Frank Jackson,NA,DUKE,36,24.9,10.9,2.5,0.473,0.395,0.755
Frank Mason,PG,KANSAS,145,30,13,3.4,0.454,0.42,0.761
Harry Giles,NA,DUKE,26,11.5,3.9,3.8,0.577,NA,0.5
Ike Anigbogu,C,UCLA,29,13,4.7,4,0.564,NA,0.535
Ivan Rabb,PF,CALIFORNIA,65,30.6,13.2,9.4,0.544,0.409,0.666
Jabari Bird,SG,CALIFORNIA,114,26.4,10.8,3.3,0.442,0.371,0.753
Jaron Blossomgame,NA,CLEMSON,128,30.7,13.5,6.5,0.488,0.316,0.724
Jarrett Allen,C,TEXAS,33,32.2,13.4,8.4,0.566,0,0.564
Jawun Evans,PG,OKSTATE,54,29.1,16.6,3.8,0.448,0.407,0.818
Jayson Tatum,SF,DUKE,29,33.3,16.8,7.3,0.452,0.342,0.849
John Collins,PF,WAKE,64,20.7,13.4,7,0.601,0,0.729
Jonah Bolden,NA,UCLA,31,21.7,4.6,4.8,0.415,0.25,0.733
Jonathan Isaac,PF,FLORIDAST,32,26.2,12,7.8,0.508,0.348,0.78
Jordan Bell,C,OREGON,105,24.7,7.8,6.8,0.61,0.188,0.63
Josh Epstein,PF,FLORIDA,51635,81.2,71.2,97.9,1.682,2.663,1.598
Josh Hart,SG,VILLANOVA,146,28,13.2,5.6,0.511,0.389,0.72
Josh Jackson,SF,KANSAS,35,30.8,16.3,7.4,0.513,0.378,0.566
Justin Jackson,SF,UNC,118,29.1,14,4.1,0.46,0.34,0.712
Justin Millar,PF,MICHIGANST,84324,-76.2,-78.5,-56.3,-1.82,-2.63,-1.58
Justin Patton,C,CREIGHTON,35,25.3,12.9,6.2,0.676,0.533,0.517
Kadeem Allen,PG,ARIZONA,68,27.5,9.1,3.6,0.459,0.4,0.725
Lauren Trotta,SG,FLORIDA,51684,75.2,99.6,0,1.56,3.522,2.963
Lauri Markkanen,PF,ARIZONA,37,30.8,15.6,7.2,0.492,0.423,0.835
Lonzo Ball,PG,UCLA,36,35.1,14.6,6,0.551,0.412,0.673
Luke Kennard,SG,DUKE,73,31.2,15.7,4.3,0.461,0.383,0.867
Malik Monk,SG,KENTUCKY,38,32.1,19.8,2.5,0.45,0.397,0.822
Markelle Fultz,SG,WASHINGTON,25,35.7,23.2,5.7,0.476,0.413,0.649
Monte Morris,PG,IOWAST,140,33.8,12.2,3.7,0.476,0.381,0.78
Nigel Williams-Goss,NA,GONZAGA,100,34.2,15.4,5.1,0.464,0.331,0.806
OG Anunoby,SF,INDIANA,50,17.4,6.8,3.5,0.563,0.365,0.522
Sindarius Thornwell,SG,SCAROLINA,132,31.8,14.7,5.2,0.392,0.339,0.771
Sterling Brown,SG,SMETHODIST,136,25.7,8.2,4.8,0.504,0.451,0.77
T.J. Leaf,PF,UCLA,35,29.9,16.3,8.2,0.617,0.466,0.679
Thomas Bryant,C,INDIANA,69,25.3,12.2,6.2,0.592,0.373,0.718
Tony Bradley,C,UNC,38,14.6,7.1,5.1,0.573,NA,0.619
Tyler Dorsey,SG,OREGON,75,30,14.1,3.9,0.455,0.416,0.732
Tyler Lydon,PF,SYRACUSE,71,33.1,11.6,7.4,0.476,0.4,0.809
Wesley Iwundu,SF,KANSASST,132,28.2,9.5,4.7,0.463,0.338,0.688
Zach Collins,C,GONZAGA,39,17.3,10,5.9,0.652,0.476,0.743
